# angle P(angle)
3.926990816987241395e-02 0.000000000000000000e+00
1.178097245096172418e-01 1.449333573972865982e-02
1.963495408493620697e-01 9.783001624316844946e-02
2.748893571891068976e-01 6.159667689384680234e-01
3.534291735288517255e-01 1.391360231013951454e+00
4.319689898685965534e-01 1.876886978294861397e+00
5.105088062083413813e-01 1.572526927760559579e+00
5.890486225480862092e-01 1.452956907907798190e+00
6.675884388878310371e-01 1.416723568558476476e+00
7.461282552275758650e-01 1.054390175065260005e+00
8.246680715673206929e-01 7.826401299453475957e-01
9.032078879070655208e-01 5.579934259795533702e-01
9.817477042468103487e-01 4.058134007124024611e-01
1.060287520586555177e+00 2.355167057705907230e-01
1.138827336926300005e+00 1.847900306815404015e-01
1.217367153266044832e+00 1.739200288767439317e-01
1.295906969605789660e+00 8.696001443837196587e-02
1.374446785945534488e+00 1.159466859178292786e-01
1.452986602285279316e+00 1.014533501781006153e-01
1.531526418625024144e+00 7.609001263357546840e-02
1.610066234964768972e+00 4.348000721918598294e-02
1.688606051304513800e+00 5.435000902398247347e-02
1.767145867644258628e+00 3.985667328425381711e-02
1.845685683984003456e+00 5.797334295891463929e-02
1.924225500323748284e+00 2.174000360959299147e-02
2.002765316663492889e+00 3.623333934932165129e-02
2.081305133003238161e+00 4.710334115411814182e-02
2.159844949342982545e+00 4.710334115411814182e-02
2.238384765682727817e+00 1.811666967466082565e-02
2.316924582022472201e+00 3.623333934932165129e-02
2.395464398362217473e+00 3.261000541438948547e-02
2.474004214701961857e+00 1.449333573972865982e-02
2.552544031041707129e+00 1.449333573972865982e-02
2.631083847381451513e+00 1.449333573972865982e-02
2.709623663721196785e+00 1.449333573972865982e-02
2.788163480060941168e+00 3.623333934932164956e-03
2.866703296400686440e+00 3.623333934932164956e-03
2.945243112740430824e+00 1.087000180479649573e-02
3.023782929080176096e+00 7.246667869864329911e-03
3.102322745419920480e+00 0.000000000000000000e+00
